Predictions1,Targets
-2.4058137,0.080029756
-2.6498053,0.09694116
-2.6523995,0.09729332
-2.6545358,0.07719746
-2.6560616,0.09986776
-2.658503,0.10955686
-2.6606393,0.105548434
-2.6620128,0.10179551
-2.6643016,0.08986509
-2.666743,0.14866579
-2.6681163,0.11354638
-2.6705577,0.12744823
-2.6717784,0.1498152
-2.674525,0.15152302
-2.6755931,0.18487933
-2.6769664,0.19114701
-2.6794078,0.16580737
-2.67895,0.19793473
-1.5168233,0.18424852
-0.23033524,0.21137595
0.71221447,0.18813618
1.9500265,0.2006341
2.68719,0.21571642
2.7398338,0.21683072
2.6844435,0.2349666
2.6832228,0.21416146
2.6810865,0.18598866
2.6800184,0.23876096
2.677577,0.2499148
2.6758986,0.2986838
2.6746774,0.28297153
2.6734567,0.26517427
2.6723886,0.24714762
2.6710153,0.22596282
2.6687264,0.27327502
2.6665902,0.28213263
2.7129774,0.284237
2.6624703,0.28900167
2.6615548,0.3310367
2.659266,0.30843902
2.6588082,0.33154106
2.6578927,0.31412888
2.6554513,0.31353202
2.6542306,0.34475666
2.70428,0.3301325
2.6527047,0.33692613
2.6528573,0.34373283
2.6519418,0.36429188
2.6519418,0.34356597
2.6519418,0.37219945
2.702754,0.3843428
2.6519418,0.3705959
2.6517892,0.38792428
