Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
-0.0006866455,-0.0008392334,7.6293945e-05,0.00022888184,0.0016021729,-0.0009918213,-0.0008392334,-0.0031280518
0.00038146973,0.0016021729,0.005264282,0.004043579,-0.0020599365,-0.005874634,7.6293945e-05,-0.0046539307
-0.0006866455,0.0012969971,0.00022888184,0.0012969971,0.0005340576,7.6293945e-05,7.6293945e-05,0.00038146973
0.002670288,0.00038146973,-0.0023651123,0.0012969971,-0.004348755,-0.0020599365,-0.0023651123,7.6293945e-05
0.002670288,0.001449585,0.002670288,-0.0023651123,0.00038146973,0.0012969971,-0.0023651123,0.00038146973
0.0064849854,0.0012969971,0.00038146973,0.0005340576,0.0051116943,0.0012969971,0.0016021729,0.0025177002
0.0012969971,0.001449585,-0.0020599365,0.0077056885,-0.0011444092,-0.0046539307,-0.0006866455,0.0016021729
-0.0009918213,-0.0011444092,-0.0008392334,0.005264282,0.0017547607,0.002670288,0.0016021729,0.0016021729
0.00022888184,0.00038146973,0.0012969971,-0.0011444092,-0.0031280518,0.001449585,0.0005340576,-0.0006866455
0.0012969971,0.0012969971,0.0017547607,0.0051116943,0.00022888184,0.0012969971,-0.007095337,7.6293945e-05
-0.0009918213,0.00022888184,0.0005340576,-0.004348755,0.0049591064,0.0029754639,-0.0023651123,0.0029754639
0.00038146973,0.00022888184,-0.0035858154,0.0016021729,-0.0035858154,-0.007095337,0.00038146973,7.6293945e-05
0.002822876,0.0016021729,0.002822876,0.002822876,-0.0022125244,0.0051116943,0.0012969971,-0.0046539307
-0.0032806396,0.001449585,0.0005340576,0.001449585,0.0005340576,0.0061798096,-0.0035858154,0.004196167
-0.0008392334,0.0051116943,-0.0009918213,-0.0031280518,-0.0009918213,-0.0046539307,-0.0009918213,0.0016021729
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
0.0029754639,-0.0023651123,0.0029754639,-0.004501343,-0.0035858154,0.0017547607,0.0016021729,-0.005874634
0.004043579,0.0005340576,0.00038146973,7.6293945e-05,-0.005722046,-0.0031280518,-0.0034332275,0.0074005127
