Voltages,Currents
-0.0835398749923274,-0.20332623
-0.08448901393675229,-0.20607328
-0.08541227313604077,-0.19630718
-0.08630936978759332,-0.16212702
-0.08718002910263423,-0.22941971
-0.08802398439038177,-0.22529984
-0.08884097713973797,-0.18501568
-0.08963075709847307,-0.502861
-0.09039308234987987,-0.3197527
-0.09112771938687511,-0.31441212
-0.09183444318352454,-0.23552322
-0.09251303726397074,-0.31242847
-0.0931632937687414,-0.30266237
-0.09378501351841861,-0.25947952
-0.09437800607464929,-0.29274416
-0.09494208979847812,-0.2961011
-0.09547709190598534,-0.34981298
-0.09598284852121186,-0.25825882
-0.09645920472635608,-0.31075
-0.09690601460922639,-0.336843
-0.09732314130793566,-0.3595786
-0.0977104570528231,-0.28297853
-0.09806784320559124,-0.3122759
-0.09839519029564604,-0.096208096
-0.09869239805362859,-0.3220415
-0.09895937544212854,-0.26329422
-0.09919604068356976,-0.35133886
-0.09940232128525947,-0.3656826
-0.0995781540615934,-0.3783474
-0.09972348515341016,-0.28297853
-0.09983827004448874,-0.31105518
-0.09992247357518426,-0.38567162
-0.09997606995319769,-0.32188892
-0.09999904276147618,-0.2758069
-0.09999138496324189,-0.2599373
-0.09995309890414733,-0.34615088
-0.09988419631155684,-0.27290773
-0.09978469829095449,-0.28908205
-0.0996546353194792,-0.2707715
-0.0994940472365893,-0.36614037
-0.09930298323185946,-0.29259157
-0.09908150182991338,-0.28068972
-0.0988296708724972,-0.28801394
-0.09854756749769893,-0.35637426
-0.09823527811632043,-0.29045534
-0.09789289838540897,-0.3119707
-0.09752053317895659,-0.3783474
-0.0971182965557763,-0.2573433
-0.0966863117245648,-0.5529108
-0.0962247110061625,-0.3705654
-0.09573363579302266,-0.3293662
-0.09521323650590134,-0.30876637
-0.09466367254778235,-0.34294653
-0.09408511225505062,-0.3255515
-0.09347773284592921,-0.30983448
-0.09284172036619595,-0.27672243
-0.09217726963219569,-0.2782483
-0.0914845841711665,-0.3255515
-0.09076387615889728,-0.29243898
-0.09001536635473666,-0.26207352
-0.08923928403397212,-0.23765945
-0.08843586691760112,-0.2732129
-0.08760536109951489,-0.3281455
-0.08674802097111786,-0.24879837
-0.085864109143405,0.0649271
-0.0849538963665219,-0.16350031
-0.08401766144683151,-0.21705961
-0.08305569116151323,-0.21553373
-0.0820682801707206,-0.17555523
-0.08105573092732404,-0.13252449
-0.08001835358426693,-0.1361866
-0.07895646589956293,-0.1450367
-0.07787039313896403,-0.14030647
-0.07676046797632839,-0.1485467
-0.0756270303917196,-0.39162254
-0.07447042756726761,-0.11818123
-0.07329101378082374,-0.12321663
-0.07208915029744234,-0.066758156
-0.07086520525872178,-0.08033848
-0.06961955357003952,-0.110551834
-0.06835257678571517,-0.028915882
-0.06706466299213719,-0.11467171
-0.06575620668888814,0.17097712
-0.06442760866790623,-0.050736427
-0.06307927589071895,0.018539429
-0.06171162136378716,0.06355381
-0.06032506401199775,-0.008010864
-0.05892002855034263,0.03349352
-0.05749694535382517,0.06645298
-0.0560562503256322,0.08720493
-0.05459838476361328,-0.23414993
-0.05312379522510673,-0.01670885
-0.051632933390155435,0.04783678
-0.050126255923153,0.06126499
-0.048604224332963644,0.11497688
-0.047067304831557445,0.15297174
-0.045515968191205715,0.41634274
-0.043950689600279126,0.13069344
-0.04237194851769319,0.22377396
-0.040780228526045965,0.19829082
-0.039176017183491896,0.18211651
-0.03755980587439866,0.1859312
-0.035932089658831594,0.28130007
-0.03429336712091263,0.0090789795
-0.03264414021609904,0.16777277
-0.030984914117430234,0.24193192
-0.029316197060788696,0.30647755
-0.02763850018922262,0.3223467
-0.025952337396378575,0.53994083
-0.024258225169090722,0.35912085
-0.022556682429176616,0.3235674
-0.02084823037448658,0.42656612
-0.019133392319256485,0.40535545
-0.017412693533811363,0.4142065
-0.01568666108367073,0.18944073
-0.013955823668103499,0.36797094
-0.01222071145818298,0.41634274
-0.010481855934390202,0.5019455
-0.008739789723816994,0.4143591
-0.006995046437017433,0.42626095
-0.005248160504558043,0.7976651
-0.0034996670133172615,0.576715
-0.001750101542582972,0.58358145
-2.4492935982947065e-17,0.5300226
