Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
1.3247118,1.7681389,2.588006,0.47737837,3.8962111,5.2004085,7.6117826,1.404054,1.1985974,1.6508931,2.4871576,0.3343173,0.14961629
1.3006024,1.8018618,2.4537272,0.4433508,3.716007,5.1481767,7.010649,1.2667166,1.1518753,1.6781975,2.362656,0.251761,0.2035784
1.2835126,2.076829,2.4967575,0.3936062,3.5653126,5.768969,6.935437,1.0933505,1.1682297,2.0250113,2.4785342,0.20713072,0.2018185
1.2563515,1.9741364,2.6762037,0.36888647,3.3955445,5.3355036,7.232983,0.99699044,1.1818668,1.978608,2.7579026,0.19678059,0.19160666
1.2746625,1.9364462,2.68719,0.32753468,3.3543751,5.095911,7.0715528,0.86193335,1.1968075,1.9512409,2.8070889,0.11708185,0.2248313
1.2822919,1.9607077,2.6870375,0.29915333,3.287928,5.027456,6.88984,0.76705986,1.2480298,2.0417762,2.891582,0.09775776,0.21559969
1.2908368,1.9597921,2.6868849,0.26527834,3.227092,4.8994803,6.717212,0.66319585,1.2702626,2.073009,2.9455204,0.03959241,0.23228467
0.98443556,2.0853739,2.6870375,0.24666214,2.4010623,5.086278,6.55375,0.60161495,0.9137705,2.2679245,3.0079708,0.006309158,0.24153274
0.8840318,2.1352715,2.6873426,0.22148514,2.1048377,5.08398,6.398435,0.5273456,0.7655062,2.3420684,3.037678,-0.06930256,0.27648717
0.5413141,2.1523614,2.6868849,0.20302105,1.25887,5.0054917,6.2485695,0.47214198,0.4235609,2.5018117,3.191347,-0.012837187,0.21297236
0.8585491,2.276722,2.6873426,0.18715191,1.951248,5.174368,6.107597,0.42534524,0.7778696,2.6498575,3.191877,-0.108374715,0.26925397
0.43617916,2.3661404,2.6873426,0.17357111,0.96928704,5.25809,5.971873,0.38571358,0.22314486,2.8285923,3.2622154,-0.13137598,0.27088666
0.47417402,2.3296714,2.68719,0.17128229,1.0308131,5.0645027,5.8417172,0.3723528,0.3359396,2.8965259,3.3899016,-0.082050994,0.23073953
0.5603876,2.4015408,2.6873426,0.15999079,1.192314,5.109661,5.7177505,0.34040594,0.42416024,3.0201862,3.423167,-0.14039925,0.25956473
0.4506755,2.3990993,2.68719,0.15159845,0.93890727,4.9981236,5.598313,0.3158301,0.3395556,3.1452856,3.5601363,-0.091115326,0.21487299
0.48027754,2.343862,2.68719,0.14168024,0.9801582,4.783392,5.4840612,0.28914335,0.34716547,3.0866346,3.591327,-0.15057258,0.24411057
0.43144894,2.242847,2.68719,0.1383233,0.8628979,4.485694,5.37438,0.2766466,0.30682814,3.0239253,3.69044,-0.13286032,0.22689685
0.4154272,2.3415732,2.6868849,0.1323719,0.81456316,4.59132,5.2684016,0.25955275,0.24643353,3.193437,3.7217638,-0.18664108,0.25435954
0.40917015,2.3499656,2.6870375,0.13206673,0.7868657,4.5191646,5.16738,0.2539745,0.20257683,3.2302177,3.7560499,-0.2297045,0.2793132
0.38735008,2.40032,2.6859694,0.1223011,0.73084927,4.528906,5.067867,0.2307568,0.16065754,3.3612797,3.815462,-0.26077032,0.2863076
0.36064672,2.4735637,2.6859694,0.12260628,0.66786426,4.580673,4.974017,0.22704865,0.15050855,3.573434,3.9175315,-0.235117,0.26774022
0.3557639,2.4454875,2.6859694,0.119859695,0.64684343,4.446341,4.8835807,0.21792671,0.16896278,3.617007,4.013802,-0.2202792,0.25336224
0.33608007,2.4830246,2.686122,0.11970711,0.600143,4.4339724,4.796646,0.21376269,0.07907269,3.6859398,4.0271435,-0.2844339,0.289013
0.27519655,2.5030136,2.6868849,0.12336922,0.48280096,4.391252,4.7138333,0.21643722,0.033389978,3.842957,4.1573772,-0.22623476,0.25567025
0.21736526,2.5551991,2.686122,0.12825203,0.37476772,4.4055157,4.6312447,0.2211242,-0.06456067,4.00327,4.231076,-0.2196177,0.2544691
0.089188576,2.5494008,2.6868849,0.13923883,0.15116708,4.3210187,4.5540423,0.23599803,-0.3425423,4.0120335,4.25538,-0.25395334,0.2827153
