Predictions1,Predictions2,Predictions3,Predictions4,Targets
1.3004498,2.6824598,-2.1969175,2.6870375,0.3637494
1.2223239,2.6823072,-2.1833372,2.6870375,0.38794398
1.2868695,2.6824598,-2.1726558,2.6870375,0.3659582
1.2212558,2.6821547,-2.134966,2.6870375,0.38222837
1.2183566,2.682002,-2.130083,2.6868849,0.39220062
1.2235446,2.682002,-2.1348133,2.6870375,0.40321124
1.2354469,2.682002,-2.0957503,2.6868849,0.41244087
1.3016706,2.6823072,-2.1081102,2.6868849,0.38518387
1.3407336,2.6823072,-2.0983443,2.6870375,0.4337162
1.2378883,2.6823072,-2.0849166,2.6868849,0.46288234
0.69588757,2.7177086,-2.095903,2.6873426,0.4524242
1.2221713,2.682002,-2.088426,2.6873426,0.50655013
1.2088962,2.6821547,-2.0835433,2.6870375,0.49029317
1.1345844,2.682002,-2.095903,2.6868849,0.4904313
1.1089492,2.6812391,-2.0699625,2.6868849,0.47485954
1.1795988,2.682002,-2.084764,2.68719,0.49588948
1.0538645,2.682002,-2.0797281,2.68719,0.5278727
1.1553373,2.682002,-2.0931563,2.68719,0.5270644
1.2355995,2.6823072,-2.1003282,2.686122,0.5325391
1.2136264,2.6821547,-2.104448,2.6832228,0.54519165
1.2488747,2.682002,-2.1090257,2.6836805,0.557412
1.3367664,2.682002,-2.1178758,2.683528,0.5654702
1.3297473,2.6824598,-2.1250477,2.6836805,0.58444095
1.330968,2.6821547,-2.139544,2.6836805,0.57330817
1.3567562,2.6824598,-2.123827,2.68719,0.58093464
1.3515682,2.6823072,-2.1383228,2.6870375,0.5946431
1.3807125,2.6824598,-2.1459527,2.68719,0.6059258
1.2966352,2.6824598,-2.1468682,2.6868849,0.6016262
1.2465858,2.682002,-2.1435113,2.6873426,0.6033993
1.2652016,2.682002,-2.1276417,2.6873426,0.62434375
1.2064548,2.6821547,-1.8699169,2.68719,0.64647967
1.2211032,2.6823072,-1.7830931,2.6873426,0.61377007
1.2127109,2.682002,-1.7661552,2.6873426,0.64759994
1.1333637,2.6823072,-1.7440298,2.6873426,0.6784185
1.1272602,2.6824598,-1.8111696,2.6873426,0.6623715
1.1109328,2.6823072,-1.9077592,2.6873426,0.670871
1.080873,2.682002,-1.9260703,2.6873426,0.7090395
1.0379953,2.6824598,-1.9530785,2.6873426,0.68680924
1.0514231,2.6824598,-1.9567406,2.6870375,0.69994044
1.0149536,2.682002,-1.9819179,2.6873426,0.7085033
0.9961853,2.682002,-1.988327,2.68719,0.72081137
1.0405893,2.682002,-1.9721522,2.68719,0.735974
1.0735483,2.682002,-1.9710841,2.6873426,0.757623
1.0892653,2.6832228,-1.9515526,2.6873426,0.7332545
1.0796523,2.6823072,-1.9689479,2.68719,0.77225405
1.1402302,2.682002,-1.9541466,2.6870375,0.759319
1.1881437,2.682002,-1.9489586,2.68719,0.76909536
1.2380409,2.6821547,-1.9672694,2.6873426,0.7569695
