Weights1,Weights2,Weights3,Weights4,Targets
0.44158337,0.44155794,0.44885683,0.4458304,0.13053912
0.43429428,0.43434432,0.44132343,0.4385217,0.13649161
0.42728955,0.42731416,0.4341807,0.43139958,0.14201203
0.42048296,0.42055562,0.42707098,0.42460042,0.14337024
0.41391292,0.41398445,0.4202311,0.4177753,0.15564097
0.4075685,0.40761545,0.41374254,0.41151232,0.13780819
0.40137008,0.4014163,0.40728873,0.40525413,0.13873467
0.39540225,0.39544782,0.4012098,0.3990917,0.14574309
0.38958752,0.38960996,0.39245978,0.39335734,0.1503258
0.3839192,0.38398555,0.38960266,0.3874575,0.13932626
0.37847826,0.37847826,0.3840805,0.38198778,0.1343993
0.37314758,0.37314758,0.37867093,0.37671512,0.14864378
0.36796495,0.36798614,0.37341157,0.37131342,0.16407967
0.36292434,0.36292434,0.36294526,0.36626872,0.124670066
0.35799935,0.35781378,0.35787562,0.36131915,0.15179995
0.35326672,0.35324636,0.35326672,0.35648122,0.17591858
0.3484378,0.3484378,0.34845784,0.35181078,0.15317151
0.34409097,0.3440315,0.34407115,0.347222,0.15497106
0.33967954,0.33962086,0.33962086,0.34278998,0.18643953
0.33536047,0.33532184,0.33532184,0.33845085,0.15750922
0.33116847,0.33116847,0.33118755,0.33420116,0.16394046
0.32709882,0.32704228,0.32707998,0.33005637,0.16580325
0.3230912,0.3230912,0.3231098,0.32604992,0.1714114
0.31919855,0.31916177,0.31905147,0.32213998,0.17987402
0.3153804,0.31541672,0.31539854,0.31843215,0.19482298
0.31165206,0.31170592,0.31170592,0.31443456,0.16375446
0.3080282,0.30808145,0.30804595,0.31102672,0.19605403
0.3046455,0.30448765,0.30452272,0.30732894,0.17641899
0.30102757,0.3010796,0.3010796,0.3037152,0.17949538
0.29764524,0.29769668,0.29766238,0.3003884,0.16066952
0.294372,0.294372,0.29438895,0.29710162,0.19739327
0.29112035,0.29096943,0.2909862,0.29380322,0.19588959
0.28797257,0.28797257,0.28798917,0.29051018,0.20865366
0.2848433,0.2848925,0.2848597,0.28748485,0.19725104
0.28182927,0.28186175,0.28182927,0.2844103,0.20257235
0.27889478,0.27889478,0.27886266,0.2814165,0.19073835
0.27598962,0.27597374,0.27598962,0.27838972,0.19532028
0.27314436,0.27309716,0.27312863,0.2755197,0.21209264
0.27031046,0.27035716,0.27032605,0.2728017,0.18687329
0.26758006,0.2676263,0.26758006,0.27004611,0.19502093
0.0,0.0,0.0,0.0,0.0059917853
-26.71931,-26.769665,-26.841385,-26.75288,-0.0036106852
-13.347448,-13.364233,-13.475624,-13.384069,0.026117193
-8.922205,-7.458357,-8.925765,-8.926273,-0.0009003845
-3.5940719,2.820821,-6.698138,-6.6916533,-0.031779528
